Date,Timestamp,Parameter,Value
2025-07-19,2025-07-19 09:00:00,CDP,10.0
2025-07-19,2025-07-19 10:00:00,CDP,10.0
2025-07-19,2025-07-19 11:00:00,CDP,9.0
2025-07-19,2025-07-19 12:00:00,CDP,10.0
2025-07-19,2025-07-19 13:00:00,CDP,9.0
2025-07-19,2025-07-19 14:00:00,CDP,10.0
2025-07-19,2025-07-19 15:00:00,CDP,10.0
2025-07-19,2025-07-19 16:00:00,CDP,10.0
2025-07-19,2025-07-19 17:00:00,CDP,10.0
2025-07-19,2025-07-19 18:00:00,CDP,9.0
2025-07-19,2025-07-19 19:00:00,CDP,10.0
2025-07-19,2025-07-19 20:00:00,CDP,10.0
2025-07-19,2025-07-19 21:00:00,CDP,10.0
2025-07-19,2025-07-19 22:00:00,CDP,9.0
2025-07-19,2025-07-19 23:00:00,CDP,9.0
2025-07-20,2025-07-20 00:00:00,CDP,10.0
2025-07-20,2025-07-20 01:00:00,CDP,9.0
2025-07-20,2025-07-20 02:00:00,CDP,9.0
2025-07-20,2025-07-20 03:00:00,CDP,9.0
2025-07-20,2025-07-20 04:00:00,CDP,10.0
2025-07-20,2025-07-20 05:00:00,CDP,10.0
2025-07-20,2025-07-20 06:00:00,CDP,10.0
2025-07-20,2025-07-20 07:00:00,CDP,10.0
2025-07-20,2025-07-20 08:00:00,CDP,9.0
2025-07-20,2025-07-20 09:00:00,CDP,10.0
2025-07-20,2025-07-20 10:00:00,CDP,10.0
2025-07-20,2025-07-20 11:00:00,CDP,10.0
2025-07-20,2025-07-20 12:00:00,CDP,10.0
2025-07-20,2025-07-20 13:00:00,CDP,10.0
2025-07-20,2025-07-20 14:00:00,CDP,10.0
2025-07-20,2025-07-20 15:00:00,CDP,10.0
2025-07-20,2025-07-20 16:00:00,CDP,10.0
2025-07-20,2025-07-20 17:00:00,CDP,10.0
2025-07-20,2025-07-20 18:00:00,CDP,9.0
2025-07-20,2025-07-20 19:00:00,CDP,10.0
2025-07-20,2025-07-20 20:00:00,CDP,10.0
2025-07-20,2025-07-20 21:00:00,CDP,10.0
2025-07-20,2025-07-20 22:00:00,CDP,10.0
2025-07-20,2025-07-20 23:00:00,CDP,9.0
2025-07-21,2025-07-21 00:00:00,CDP,9.0
2025-07-21,2025-07-21 01:00:00,CDP,9.0
2025-07-21,2025-07-21 02:00:00,CDP,8.0
2025-07-21,2025-07-21 03:00:00,CDP,9.0
2025-07-21,2025-07-21 04:00:00,CDP,9.0
2025-07-21,2025-07-21 05:00:00,CDP,10.0
2025-07-21,2025-07-21 06:00:00,CDP,10.0
2025-07-21,2025-07-21 07:00:00,CDP,10.0
2025-07-21,2025-07-21 08:00:00,CDP,10.0
2025-07-21,2025-07-21 09:00:00,CDP,10.0
2025-07-21,2025-07-21 10:00:00,CDP,10.0
2025-07-21,2025-07-21 11:00:00,CDP,10.0
2025-07-21,2025-07-21 12:00:00,CDP,10.0
2025-07-21,2025-07-21 13:00:00,CDP,10.0
2025-07-21,2025-07-21 14:00:00,CDP,10.0
2025-07-21,2025-07-21 15:00:00,CDP,10.0
2025-07-21,2025-07-21 16:00:00,CDP,10.0
2025-07-21,2025-07-21 17:00:00,CDP,10.0
2025-07-21,2025-07-21 18:00:00,CDP,10.0
2025-07-21,2025-07-21 19:00:00,CDP,10.0
2025-07-21,2025-07-21 20:00:00,CDP,10.0
2025-07-21,2025-07-21 21:00:00,CDP,10.0
2025-07-21,2025-07-21 22:00:00,CDP,9.0
2025-07-21,2025-07-21 23:00:00,CDP,9.0
2025-07-22,2025-07-22 00:00:00,CDP,10.0
2025-07-22,2025-07-22 01:00:00,CDP,9.0
2025-07-22,2025-07-22 02:00:00,CDP,9.0
2025-07-22,2025-07-22 03:00:00,CDP,8.0
2025-07-22,2025-07-22 04:00:00,CDP,8.0
2025-07-22,2025-07-22 05:00:00,CDP,9.0
2025-07-22,2025-07-22 06:00:00,CDP,9.0
2025-07-22,2025-07-22 07:00:00,CDP,9.0
2025-07-22,2025-07-22 08:00:00,CDP,9.0
2025-07-22,2025-07-22 09:00:00,CDP,9.0
2025-07-22,2025-07-22 10:00:00,CDP,9.0
2025-07-22,2025-07-22 11:00:00,CDP,9.0
2025-07-22,2025-07-22 12:00:00,CDP,10.0
2025-07-22,2025-07-22 13:00:00,CDP,10.0
2025-07-22,2025-07-22 14:00:00,CDP,10.0
2025-07-22,2025-07-22 15:00:00,CDP,10.0
2025-07-22,2025-07-22 16:00:00,CDP,10.0
2025-07-22,2025-07-22 17:00:00,CDP,10.0
2025-07-22,2025-07-22 18:00:00,CDP,10.0
2025-07-22,2025-07-22 19:00:00,CDP,10.0
2025-07-22,2025-07-22 20:00:00,CDP,10.0
2025-07-22,2025-07-22 21:00:00,CDP,9.0
2025-07-22,2025-07-22 22:00:00,CDP,10.0
2025-07-22,2025-07-22 23:00:00,CDP,10.0
2025-07-03,2025-07-03 00:00:00,CDT,335.0
2025-07-03,2025-07-03 01:00:00,CDT,333.0
2025-07-03,2025-07-03 02:00:00,CDT,328.0
2025-07-03,2025-07-03 03:00:00,CDT,327.0
2025-07-03,2025-07-03 17:00:00,CDT,331.0
2025-07-03,2025-07-03 18:00:00,CDT,339.0
2025-07-03,2025-07-03 19:00:00,CDT,357.0
2025-07-03,2025-07-03 20:00:00,CDT,347.0
2025-07-03,2025-07-03 21:00:00,CDT,348.0
2025-07-03,2025-07-03 22:00:00,CDT,345.0
2025-07-03,2025-07-03 23:00:00,CDT,349.0
2025-07-04,2025-07-04 00:00:00,CDT,347.0
2025-07-04,2025-07-04 01:00:00,CDT,326.0
2025-07-04,2025-07-04 02:00:00,CDT,328.0
2025-07-04,2025-07-04 03:00:00,CDT,328.0
2025-07-04,2025-07-04 04:00:00,CDT,328.0
2025-07-04,2025-07-04 05:00:00,CDT,336.0
2025-07-04,2025-07-04 06:00:00,CDT,338.0
2025-07-04,2025-07-04 07:00:00,CDT,339.0
2025-07-04,2025-07-04 08:00:00,CDT,341.0
2025-07-04,2025-07-04 09:00:00,CDT,344.0
2025-07-04,2025-07-04 10:00:00,CDT,361.0
2025-07-04,2025-07-04 11:00:00,CDT,353.0
2025-07-04,2025-07-04 12:00:00,CDT,347.0
2025-07-04,2025-07-04 13:00:00,CDT,346.0
2025-07-04,2025-07-04 14:00:00,CDT,359.0
2025-07-04,2025-07-04 15:00:00,CDT,359.0
2025-07-04,2025-07-04 16:00:00,CDT,345.0
2025-07-04,2025-07-04 17:00:00,CDT,353.0
2025-07-04,2025-07-04 18:00:00,CDT,353.0
2025-07-04,2025-07-04 19:00:00,CDT,358.0
2025-07-04,2025-07-04 20:00:00,CDT,358.0
2025-07-04,2025-07-04 21:00:00,CDT,342.0
2025-07-04,2025-07-04 22:00:00,CDT,339.0
2025-07-04,2025-07-04 23:00:00,CDT,340.0
2025-07-05,2025-07-05 00:00:00,CDT,342.0
2025-07-05,2025-07-05 01:00:00,CDT,341.0
2025-07-05,2025-07-05 02:00:00,CDT,348.0
2025-07-05,2025-07-05 03:00:00,CDT,343.0
2025-07-05,2025-07-05 04:00:00,CDT,346.0
2025-07-05,2025-07-05 05:00:00,CDT,346.0
2025-07-05,2025-07-05 06:00:00,CDT,344.0
2025-07-05,2025-07-05 07:00:00,CDT,342.0
2025-07-05,2025-07-05 08:00:00,CDT,339.0
2025-07-05,2025-07-05 09:00:00,CDT,344.0
2025-07-05,2025-07-05 10:00:00,CDT,347.0
2025-07-05,2025-07-05 11:00:00,CDT,362.0
2025-07-05,2025-07-05 12:00:00,CDT,363.0
2025-07-05,2025-07-05 13:00:00,CDT,363.0
2025-07-05,2025-07-05 14:00:00,CDT,352.0
2025-07-05,2025-07-05 15:00:00,CDT,362.0
2025-07-05,2025-07-05 16:00:00,CDT,358.0
2025-07-05,2025-07-05 17:00:00,CDT,347.0
2025-07-05,2025-07-05 18:00:00,CDT,358.0
2025-07-05,2025-07-05 19:00:00,CDT,346.0
2025-07-05,2025-07-05 20:00:00,CDT,357.0
2025-07-05,2025-07-05 21:00:00,CDT,352.0
2025-07-05,2025-07-05 22:00:00,CDT,343.0
2025-07-05,2025-07-05 23:00:00,CDT,338.0
2025-07-06,2025-07-06 00:00:00,CDT,333.0
2025-07-06,2025-07-06 01:00:00,CDT,345.0
2025-07-06,2025-07-06 02:00:00,CDT,341.0
2025-07-06,2025-07-06 03:00:00,CDT,341.0
2025-07-06,2025-07-06 04:00:00,CDT,341.0
2025-07-06,2025-07-06 05:00:00,CDT,342.0
2025-07-06,2025-07-06 06:00:00,CDT,341.0
2025-07-06,2025-07-06 07:00:00,CDT,337.0
2025-07-06,2025-07-06 08:00:00,CDT,340.0
2025-07-06,2025-07-06 09:00:00,CDT,356.0
2025-07-06,2025-07-06 10:00:00,CDT,334.0
2025-07-06,2025-07-06 11:00:00,CDT,349.0
2025-07-06,2025-07-06 12:00:00,CDT,362.0
2025-07-06,2025-07-06 13:00:00,CDT,360.0
2025-07-06,2025-07-06 14:00:00,CDT,349.0
2025-07-06,2025-07-06 15:00:00,CDT,352.0
2025-07-06,2025-07-06 16:00:00,CDT,340.0
2025-07-06,2025-07-06 17:00:00,CDT,361.0
2025-07-06,2025-07-06 18:00:00,CDT,359.0
2025-07-06,2025-07-06 19:00:00,CDT,360.0
2025-07-06,2025-07-06 20:00:00,CDT,344.0
2025-07-06,2025-07-06 21:00:00,CDT,159.0
2025-07-06,2025-07-06 22:00:00,CDT,349.0
2025-07-06,2025-07-06 23:00:00,CDT,347.0
2025-07-07,2025-07-07 00:00:00,CDT,343.0
2025-07-07,2025-07-07 01:00:00,CDT,347.0
2025-07-07,2025-07-07 02:00:00,CDT,341.0
2025-07-07,2025-07-07 03:00:00,CDT,341.0
2025-07-07,2025-07-07 04:00:00,CDT,341.0
2025-07-07,2025-07-07 05:00:00,CDT,339.0
2025-07-07,2025-07-07 06:00:00,CDT,351.0
2025-07-07,2025-07-07 07:00:00,CDT,341.0
2025-07-07,2025-07-07 08:00:00,CDT,340.0
2025-07-07,2025-07-07 09:00:00,CDT,340.0
2025-07-07,2025-07-07 10:00:00,CDT,340.0
2025-07-07,2025-07-07 11:00:00,CDT,353.0
2025-07-07,2025-07-07 12:00:00,CDT,362.0
2025-07-07,2025-07-07 13:00:00,CDT,343.0
2025-07-07,2025-07-07 14:00:00,CDT,343.0
2025-07-07,2025-07-07 15:00:00,CDT,360.0
2025-07-07,2025-07-07 16:00:00,CDT,354.0
2025-07-07,2025-07-07 17:00:00,CDT,332.0
2025-07-07,2025-07-07 18:00:00,CDT,347.0
2025-07-07,2025-07-07 19:00:00,CDT,340.0
2025-07-07,2025-07-07 20:00:00,CDT,341.0
2025-07-07,2025-07-07 21:00:00,CDT,342.0
2025-07-07,2025-07-07 22:00:00,CDT,342.0
2025-07-07,2025-07-07 23:00:00,CDT,344.0
2025-07-08,2025-07-08 00:00:00,CDT,342.0
2025-07-08,2025-07-08 01:00:00,CDT,335.0
2025-07-08,2025-07-08 02:00:00,CDT,328.0
2025-07-08,2025-07-08 03:00:00,CDT,329.0
2025-07-08,2025-07-08 04:00:00,CDT,329.0
2025-07-08,2025-07-08 05:00:00,CDT,328.0
2025-07-08,2025-07-08 06:00:00,CDT,329.0
2025-07-08,2025-07-08 07:00:00,CDT,327.0
2025-07-08,2025-07-08 08:00:00,CDT,328.0
2025-07-08,2025-07-08 09:00:00,CDT,329.0
2025-07-08,2025-07-08 10:00:00,CDT,330.0
2025-07-08,2025-07-08 11:00:00,CDT,348.0
2025-07-08,2025-07-08 12:00:00,CDT,365.0
2025-07-08,2025-07-08 13:00:00,CDT,364.0
2025-07-08,2025-07-08 14:00:00,CDT,362.0
2025-07-08,2025-07-08 15:00:00,CDT,356.0
2025-07-08,2025-07-08 16:00:00,CDT,343.0
2025-07-08,2025-07-08 17:00:00,CDT,353.0
2025-07-08,2025-07-08 18:00:00,CDT,356.0
2025-07-08,2025-07-08 19:00:00,CDT,354.0
2025-07-08,2025-07-08 20:00:00,CDT,334.0
2025-07-08,2025-07-08 21:00:00,CDT,335.0
2025-07-08,2025-07-08 22:00:00,CDT,337.0
2025-07-08,2025-07-08 23:00:00,CDT,338.0
2025-07-09,2025-07-09 00:00:00,CDT,334.0
2025-07-09,2025-07-09 01:00:00,CDT,337.0
2025-07-09,2025-07-09 02:00:00,CDT,337.0
2025-07-09,2025-07-09 03:00:00,CDT,335.0
2025-07-09,2025-07-09 04:00:00,CDT,334.0
2025-07-09,2025-07-09 05:00:00,CDT,327.0
2025-07-09,2025-07-09 06:00:00,CDT,335.0
2025-07-09,2025-07-09 07:00:00,CDT,345.0
2025-07-09,2025-07-09 08:00:00,CDT,334.0
2025-07-09,2025-07-09 09:00:00,CDT,347.0
2025-07-09,2025-07-09 10:00:00,CDT,345.0
2025-07-09,2025-07-09 11:00:00,CDT,356.0
2025-07-09,2025-07-09 12:00:00,CDT,351.0
2025-07-09,2025-07-09 13:00:00,CDT,354.0
2025-07-09,2025-07-09 14:00:00,CDT,363.0
